Index,WebAddress,AccessTime,StatusCode,ResponseTime
0,https://www.digi.com.my/,2020-12-13 10:00:29.131613,200,0.10809731483459473
1,https://www.maxis.com.my/whats-new/,2020-12-13 10:00:29.240292,200,0.21775317192077637
2,https://www.u.com.my/,2020-12-13 10:00:30.982019,200,1.9585037231445312
3,https://www.celcom.com.my/personal,2020-12-13 10:00:31.100914,200,2.0773980617523193
4,https://www.abc.com.my,2020-12-13 10:00:54.194642,400,25.1711266040802
0,https://www.digi.com.my/,2020-12-13 10:01:54.325498,200,0.11678051948547363
1,https://www.maxis.com.my/whats-new/,2020-12-13 10:01:54.438722,200,0.23000478744506836
2,https://www.u.com.my/,2020-12-13 10:01:54.621649,200,0.4129319190979004
3,https://www.celcom.com.my/personal,2020-12-13 10:01:54.735518,200,0.526801347732544
4,https://www.abc.com.my,2020-12-13 10:02:17.831102,400,23.622385501861572
0,https://www.digi.com.my/,2020-12-13 10:08:51.059265,200,0.10162138938903809
1,https://www.maxis.com.my/whats-new/,2020-12-13 10:08:51.205397,200,0.24775433540344238
2,https://www.u.com.my/,2020-12-13 10:08:55.421623,200,4.463979959487915
3,https://www.celcom.com.my/personal,2020-12-13 10:08:55.544409,200,4.586766004562378
4,https://www.abc.com.my,2020-12-13 10:09:18.672172,400,27.714528560638428
0,https://www.digi.com.my/,2020-12-13 10:14:18.788171,200,0.09774589538574219
1,https://www.maxis.com.my/whats-new/,2020-12-13 10:14:18.897152,200,0.2067267894744873
2,https://www.u.com.my/,2020-12-13 10:14:19.089862,200,0.39943647384643555
3,https://www.celcom.com.my/personal,2020-12-13 10:14:19.213877,200,0.5234520435333252
4,https://www.abc.com.my,2020-12-13 10:14:42.339449,400,23.64902353286743
0,https://www.digi.com.my/,2020-12-13 10:31:10.542794,200,0.23140478134155273
1,https://www.maxis.com.my/whats-new/,2020-12-13 10:31:10.936124,200,0.6247353553771973
2,https://www.u.com.my/,2020-12-13 10:31:11.364591,200,1.053201675415039
3,https://www.celcom.com.my/personal,2020-12-13 10:31:11.664941,200,1.3535516262054443
4,https://www.abc.com.my,2020-12-13 10:31:34.925766,400,24.61437702178955
0,https://www.digi.com.my/,2020-12-13 10:36:35.212673,200,0.27181220054626465
1,https://www.maxis.com.my/whats-new/,2020-12-13 10:36:35.428735,200,0.48787426948547363
2,https://www.u.com.my/,2020-12-13 10:36:35.733812,200,0.7939605712890625
3,https://www.celcom.com.my/personal,2020-12-13 10:36:36.027903,200,1.0870423316955566
4,https://www.abc.com.my,2020-12-13 10:36:59.303545,400,24.362685203552246
0,https://www.digi.com.my/,2020-12-13 10:41:59.601583,200,0.2897307872772217
1,https://www.maxis.com.my/whats-new/,2020-12-13 10:41:59.816322,200,0.5044703483581543
2,https://www.u.com.my/,2020-12-13 10:42:01.286140,200,1.974287748336792
3,https://www.celcom.com.my/personal,2020-12-13 10:42:02.079844,200,2.7679922580718994
4,https://www.abc.com.my,2020-12-13 10:42:25.225927,400,25.914074420928955
0,https://www.digi.com.my/,2020-12-13 10:47:25.455965,200,0.21863913536071777
1,https://www.maxis.com.my/whats-new/,2020-12-13 10:47:25.743505,200,0.506178617477417
2,https://www.u.com.my/,2020-12-13 10:47:26.052483,200,0.8151571750640869
3,https://www.celcom.com.my/personal,2020-12-13 10:47:26.354450,200,1.1171236038208008
4,https://www.abc.com.my,2020-12-13 10:47:49.593513,400,24.356186866760254
0,https://www.digi.com.my/,2020-12-13 10:52:49.914168,200,0.30834460258483887
1,https://www.maxis.com.my/whats-new/,2020-12-13 10:52:50.338275,200,0.7324519157409668
2,https://www.u.com.my/,2020-12-13 10:52:58.622387,200,9.016563177108765
3,https://www.celcom.com.my/personal,2020-12-13 10:52:58.927476,200,9.32165241241455
4,https://www.abc.com.my,2020-12-13 10:53:22.042917,400,32.437093019485474
0,https://www.digi.com.my/,2020-12-13 10:58:22.502821,200,0.44368600845336914
1,https://www.maxis.com.my/whats-new/,2020-12-13 10:58:22.908991,200,0.8498563766479492
2,https://www.u.com.my/,2020-12-13 10:58:26.812037,200,4.752902507781982
3,https://www.celcom.com.my/personal,2020-12-13 10:58:27.114619,200,5.055484294891357
4,https://www.abc.com.my,2020-12-13 10:58:50.279693,400,28.220557689666748
0,https://www.digi.com.my/,2020-12-13 11:03:50.565681,200,0.2666599750518799
1,https://www.maxis.com.my/whats-new/,2020-12-13 11:03:50.780298,200,0.4812772274017334
2,https://www.u.com.my/,2020-12-13 11:03:51.190208,200,0.8911876678466797
3,https://www.celcom.com.my/personal,2020-12-13 11:03:51.494442,200,1.1954209804534912
4,https://www.abc.com.my,2020-12-13 11:04:14.675337,400,24.3763165473938
0,https://www.digi.com.my/,2020-12-13 11:09:15.056870,200,0.3681819438934326
1,https://www.maxis.com.my/whats-new/,2020-12-13 11:09:15.363792,200,0.6761043071746826
2,https://www.u.com.my/,2020-12-13 11:09:18.254377,200,3.5656893253326416
3,https://www.celcom.com.my/personal,2020-12-13 11:09:18.640790,200,3.952101945877075
4,https://www.abc.com.my,2020-12-13 11:09:41.838390,400,27.149701595306396
0,https://www.digi.com.my/,2020-12-13 11:14:42.225591,200,0.36229586601257324
1,https://www.maxis.com.my/whats-new/,2020-12-13 11:14:42.634826,200,0.771531343460083
2,https://www.u.com.my/,2020-12-13 11:14:42.956093,200,1.0927979946136475
3,https://www.celcom.com.my/personal,2020-12-13 11:14:43.440723,200,1.5774283409118652
4,https://www.abc.com.my,2020-12-13 11:15:06.608650,400,24.745354890823364
0,https://www.digi.com.my/,2020-12-13 11:20:06.908231,200,0.28146910667419434
